ad_id,campaign_name,platform,impressions,clicks,conversions,cost,age_group,location,device,date
1,Summer Sale,Facebook,52000,1820,182,1200.50,18-24,New York,Mobile,2024-06-01
2,Summer Sale,Instagram,48000,2016,221,1100.00,18-24,Los Angeles,Mobile,2024-06-01
3,Brand Awareness,Google,95000,2375,119,3200.00,25-34,Chicago,Desktop,2024-06-02
4,Product Launch,Twitter,31000,620,31,850.00,25-34,Houston,Mobile,2024-06-02
5,Retargeting A,Facebook,22000,1100,176,700.00,35-44,Phoenix,Desktop,2024-06-03
6,Holiday Promo,Instagram,67000,3015,241,1900.00,18-24,Philadelphia,Mobile,2024-06-03
7,Brand Awareness,LinkedIn,14000,280,22,960.00,35-44,San Antonio,Desktop,2024-06-04
8,Summer Sale,Google,88000,2640,211,2900.00,25-34,San Diego,Desktop,2024-06-04
9,Product Launch,TikTok,120000,6000,480,2200.00,18-24,Dallas,Mobile,2024-06-05
10,Retargeting B,Facebook,19000,950,152,600.00,45-54,San Jose,Mobile,2024-06-05
11,Holiday Promo,Google,74000,2220,178,2500.00,25-34,Austin,Desktop,2024-06-06
12,Brand Awareness,Instagram,55000,2475,198,1700.00,18-24,Jacksonville,Mobile,2024-06-06
13,Summer Sale,TikTok,98000,4900,392,1800.00,18-24,Fort Worth,Mobile,2024-06-07
14,Product Launch,Facebook,36000,1440,115,1100.00,25-34,Columbus,Mobile,2024-06-07
15,Retargeting A,Google,41000,1230,111,1400.00,35-44,Charlotte,Desktop,2024-06-08
16,Holiday Promo,Twitter,25000,750,45,680.00,25-34,Indianapolis,Mobile,2024-06-08
17,Brand Awareness,TikTok,145000,7250,580,2600.00,18-24,San Francisco,Mobile,2024-06-09
18,Summer Sale,LinkedIn,12000,240,19,820.00,35-44,Seattle,Desktop,2024-06-09
19,Product Launch,Instagram,61000,2745,220,1950.00,18-24,Denver,Mobile,2024-06-10
20,Retargeting B,Google,38000,1140,103,1300.00,45-54,Nashville,Desktop,2024-06-10
21,Holiday Promo,Facebook,58000,2610,209,1850.00,25-34,Oklahoma City,Mobile,2024-06-11
22,Brand Awareness,Google,102000,2550,127,3400.00,35-44,El Paso,Desktop,2024-06-11
23,Summer Sale,Facebook,71000,2840,227,2100.00,18-24,Washington DC,Mobile,2024-06-12
24,Product Launch,YouTube,88000,3520,281,2400.00,25-34,Boston,Desktop,2024-06-12
25,Retargeting A,Instagram,43000,1935,155,1400.00,25-34,Memphis,Mobile,2024-06-13
26,Holiday Promo,TikTok,132000,6600,528,2400.00,18-24,Louisville,Mobile,2024-06-13
27,Brand Awareness,YouTube,65000,2600,156,2200.00,35-44,Portland,Desktop,2024-06-14
28,Summer Sale,Google,79000,2370,190,2700.00,25-34,Las Vegas,Desktop,2024-06-14
29,Product Launch,Facebook,44000,1760,141,1350.00,18-24,Milwaukee,Mobile,2024-06-15
30,Retargeting B,Instagram,37000,1665,133,1200.00,35-44,Albuquerque,Mobile,2024-06-15
31,Holiday Promo,Google,91000,2730,218,3100.00,25-34,Tucson,Desktop,2024-06-16
32,Brand Awareness,Facebook,49000,1960,157,1550.00,18-24,Fresno,Mobile,2024-06-16
33,Summer Sale,TikTok,115000,5750,460,2100.00,18-24,Sacramento,Mobile,2024-06-17
34,Product Launch,LinkedIn,16000,320,26,1100.00,45-54,Mesa,Desktop,2024-06-17
35,Retargeting A,Google,52000,1560,140,1750.00,35-44,Kansas City,Desktop,2024-06-18
36,Holiday Promo,Instagram,72000,3240,259,2200.00,18-24,Atlanta,Mobile,2024-06-18
37,Brand Awareness,Twitter,28000,840,50,750.00,25-34,Omaha,Mobile,2024-06-19
38,Summer Sale,YouTube,93000,3720,298,3100.00,25-34,Colorado Springs,Desktop,2024-06-19
39,Product Launch,Google,83000,2490,199,2800.00,25-34,Raleigh,Desktop,2024-06-20
40,Retargeting B,Facebook,27000,1350,108,850.00,45-54,Virginia Beach,Mobile,2024-06-20
41,Holiday Promo,YouTube,77000,3080,246,2600.00,25-34,Long Beach,Desktop,2024-06-21
42,Brand Awareness,TikTok,158000,7900,632,2900.00,18-24,Minneapolis,Mobile,2024-06-21
43,Summer Sale,Instagram,85000,3825,306,2700.00,18-24,Tampa,Mobile,2024-06-22
44,Product Launch,Twitter,22000,660,40,580.00,25-34,New Orleans,Mobile,2024-06-22
45,Retargeting A,Instagram,46000,2070,166,1500.00,35-44,Arlington,Mobile,2024-06-23
46,Holiday Promo,Facebook,64000,2880,230,2050.00,25-34,Bakersfield,Mobile,2024-06-23
47,Brand Awareness,Google,110000,2750,138,3700.00,35-44,Honolulu,Desktop,2024-06-24
48,Summer Sale,Facebook,76000,3040,243,2300.00,18-24,Anaheim,Mobile,2024-06-24
49,Product Launch,Instagram,68000,3060,245,2100.00,18-24,Aurora,Mobile,2024-06-25
50,Retargeting B,Google,45000,1350,122,1550.00,45-54,Santa Ana,Desktop,2024-06-25
51,Holiday Promo,TikTok,141000,7050,564,2600.00,18-24,Corpus Christi,Mobile,2024-06-26
52,Brand Awareness,YouTube,70000,2800,168,2350.00,35-44,Riverside,Desktop,2024-06-26
53,Summer Sale,Google,86000,2580,206,2950.00,25-34,St. Louis,Desktop,2024-06-27
54,Product Launch,Facebook,40000,1600,128,1250.00,18-24,Lexington,Mobile,2024-06-27
55,Retargeting A,TikTok,108000,5400,432,1950.00,18-24,Pittsburgh,Mobile,2024-06-28
56,Holiday Promo,Instagram,79000,3555,284,2400.00,18-24,Anchorage,Mobile,2024-06-28
57,Brand Awareness,Facebook,53000,2120,170,1680.00,25-34,Stockton,Mobile,2024-06-29
58,Summer Sale,TikTok,124000,6200,496,2300.00,18-24,Cincinnati,Mobile,2024-06-29
59,Product Launch,YouTube,97000,3880,310,3200.00,25-34,St. Paul,Desktop,2024-06-30
60,Retargeting B,Instagram,50000,2250,180,1650.00,35-44,Toledo,Mobile,2024-06-30
